locationId,wing,shelf,bookName,authorName
248415695,Office # 108-A Bookcases,10.3,Brothers for Resistance and Rescue: The Underground Zionist Youth Movement in Hungary during World War II,David Gur
678639380,Office # 108-A Bookcases,10.2,Byzantine Christianity,Derek Krueger
220867058,CHAP-108 Bookcases (closest to offices),7.4,Calvin: Commentaries,Joseph Haroutunian
928023048,Office # 108-A Bookcases,10.2,Calvin: Instituted of the Christian Religion (1 and 2),John T. McNeil
749598448,Office # 108-A Bookcases,10.2,Christian Attitudes Toward War & Peace: A Historical Survey and Critical Re-evaluation,Roland H. Bainton
508335597,CHAP-108 Bookcases (closest to chapel),1.4,"Christian Oxyrhynchus: Texts, Documents, and Sources",Lincoln H. Blumell and Thomas A. Wayment
872379805,CHAP-108 Bookcases (closest to offices),8.3,Christian Social Teachings,George W. Forell
206013963,CHAP-108 Bookcases (closest to offices),"7.3,10.2",Christian Spirituality: Origins to the Twelfth Century,"Bernard McGinn, John Meyendorf, and Jean Leclercq"
929132421,Office # 108-A Bookcases,10.2,Christianity in European History,William A. Clelbsch
959514008,CHAP-108 Bookcases (closest to chapel),2.1,Christianity in the Greco-Roman World,Moyer V. Hubbard
996584813,CHAP-108 Bookcases (closest to chapel),1.3,Christianity: How a Tiny Sect from a Despised Religion came to Dominate the Roman Empire,Jonathon Hill
783145903,CHAP-108 Bookcases (closest to chapel),2.3,Christianization and the Rise of Christian Monarchy,Nora Berend
137963269,Office # 108-A Bookcases,10.2,Christianizing Egypt: Syncretism and Local Worlds in Late Antiquity,David Frankfurter
384578735,Exterior (Next to Office),12.4,Christobiography,Craig Keener
480030901,Office # 108-A Bookcases,9.3,Colonialism and the Bible: Contemporary Reflections from the Global South,Tat-Siong Benny Liew and Fernando F. Segovia
917297832,CHAP-108 Bookcases (closest to chapel),1.3,Confessions,Saint Augustine
843024806,Office # 108-A Bookcases,10.3,"Contextualizing the Sacred in the Hellenistic and Roman Near East: Religious Identities in Local, Regional, and Imperial Settings",Rubina Raja
152620394,CHAP-108 Bookcases (closest to offices),8.4,Cosmos Crumbling,Robert H. Abzug
693375347,Office # 108-A Bookcases,10.2,Critical Review of Books in Religion 1993,Eldon Jay Epp
41259105,CHAP-108 Bookcases (closest to offices),7.3,Das hellenistische Gymnasion,Akademie Verlag
479006461,CHAP-108 Bookcases (closest to chapel),2.1,Dictionary of Early Christian Literature,Siegmar Dopp and Wilhelm Geerlings
164733560,CHAP-108 Bookcases (closest to chapel),1.3,Dictionary of Ecclesiastical Latin,Leo F. Stelten
740220436,CHAP-108 Bookcases (closest to chapel),1.4,Documents and Images for the Study of Paul,Neil Elliot and Mark Reasoner
447904195,Office # 108-A Bookcases,10.2,Documents of the Christian Church (2nd Edition),Henry Bettenson
913338808,Office # 108-A Bookcases,9.3,Early Biblical Intrepretation,James L. Kugel
949816717,CHAP-108 Bookcases (closest to offices),7.4,Early Latin Theology,S. L. Greenslade
396242454,CHAP-108 Bookcases (closest to offices),8.2,Eastern Christian Worlds,Mahmoud Zibawi
691469017,CHAP-108 Bookcases (closest to offices),8.3,Eerdmans Dictionary of the Bible,David Noel Freedman
388100412,CHAP-108 Bookcases (closest to offices),8.3,Encyclopedia of Christian Theology (Volumes 1-3),Jean-Yves Lacoste
242343138,CHAP-108 Bookcases (closest to chapel),2.1,Encyclopedia of Early Christianity,"Everett Ferguson, Michael P McHugh, Frederick W. Norris"
698876766,CHAP-108 Bookcases (closest to offices),8.1,Essential Papers on Hassidism,Gershon David Hundbert
305669176,CHAP-108 Bookcases (closest to offices),8.4,Essential Papers on Judaism and Christianity in Conflict,Jeremy Cohen
475578414,CHAP-108 Bookcases (closest to offices),8.1,Essential Papers on Messianic Movements and Personality in Jewish History,Marc Saperstein
303059615,CHAP-108 Bookcases (closest to offices),8.1,Essential Papers on the Talmud,Michael Chernick
521575168,CHAP-108 Bookcases (closest to offices),8.4,Essential Papers on Zionism,Jehuda Reinharz and Anita Shapira
857193424,CHAP-108 Bookcases (closest to chapel),1.3,Evagrius Ponticus,A.M. Casiday
442935888,CHAP-108 Bookcases (closest to offices),8.4,Evangelicalism,Mark A. Noll
486764842,CHAP-108 Bookcases (closest to offices),8.3,Everyday Writing in the Greco-Roman East,Roger S. Bagnall
843622995,Office # 108-A Bookcases,10.2,Feminist Theory and the Bible: Interrogating the Sources,Esther Fuchs
